jtkicker_20211119	bb66e3e
jtbubl	 26175c2
jtdd	55ed7da
jtbubl	48f705e
jtcps1_20211217	0fdcb02
jtkicker_20211223	1b6ddcc
jtyiear_20211224	6d225e4
jtsbaskt_20211231	da30e7b
jtsbask1_20211231	da30e7b
jtcop_20220107	2497d00
jtcps2_20220107	b23bbae
jtcps1 1c41362
jtsbaskt_20220114	0f9469c
jtyiear_20220114	0f9469c
jtsbask1_20220114	0f9469c
jtrumble_20220207	60f94df0
jtmidres_20220218	359435e
jtroadf_20220318	eff9030
jtyiear_20220318	5d839e7
jtkicker_20220318	5d839e7
jtsbask1_20220318	5d839e7
jtmikie_20220318	5d839e7
jtsbaskt_20220318	5d839e7
jtroadf_20220325	eec54f0
jtsbask1_20220330	cd4e784
jtyiear_20220330	cd4e784
jtmikie_20220330	cd4e784
jtkicker_20220330	cd4e784
jtsbaskt_20220330	cd4e784
jtpinpon_20220401	3d55402
jtrastan_20220408	f17bd1f
jttrack_20220415	fc7a7f2
jtgng_20220416	b214d084
jts16b3_20220422	1bee3db
jts16b_20220422	1bee3db
jts16_20220422	1bee3db
jtcps15_20220422	70bf94b
jtcps1_20220422	70bf94b
jtcps2_20220422	70bf94b
jt1942_20220422	ea8ce9f
jt1943_20220422	ea8ce9f
jtbiocom_20220422	ea8ce9f
jtbtiger_20220422	ea8ce9f
jtcommando_20220422	ea8ce9f
jtexed_20220422	ea8ce9f
jtf1dream_20220422	ea8ce9f
jtgng_20220422	ea8ce9f
jtgunsmoke_20220422	ea8ce9f
jthige_20220422	ea8ce9f
jtrumble_20220422	ea8ce9f
jtsarms_20220422	ea8ce9f
jtsectionz_20220422	ea8ce9f
jtsf_20220422	ea8ce9f
jttora_20220422	ea8ce9f
jttrojan_20220422	ea8ce9f
jtvulgus_20220422	ea8ce9f
jtdd2_20220422	487818f
jtdd_20220422	487818f
jtcomsc_20220422	65d6439
jtcontra_20220422	65d6439
jtflane_20220422	65d6439
jtlabrun_20220422	65d6439
jtmx5k_20220422	65d6439
jtdd2_20220422	487818f
jtdd_20220422	487818f
jt1942_20220429	52ea449
jtbiocom_20220429	52ea449
jtbtiger_20220429	52ea449
jtcommando_20220429	52ea449
jtexed_20220429	52ea449
jtf1dream_20220429	52ea449
jtgng_20220429	52ea449
jtgunsmoke_20220429	52ea449
jthige_20220429	52ea449
jtrumble_20220429	52ea449
jtsarms_20220429	52ea449
